Population,Generation,GFP,wbar,ubar
33,11,0.0,1.8046476836618932,2.96668
33,12,0.0,1.8155816397684832,3.00531
34,0,0.5,1.0,0.0
34,1,0.49796,1.0000759740016658,0.00143
34,2,0.49841,1.0006121897564637,0.00707
34,3,0.52483,1.0100292186353208,0.08025
34,4,0.79243,1.0979043507313124,0.67624
34,5,0.96144,1.1499085212340188,0.9939
34,6,0.98364,1.1588078536829856,1.05671
34,7,0.99178,1.1875351286069535,1.32682
34,8,0.99878,1.2599497277405927,1.98798
34,9,0.99991,1.366238160578581,2.65061
34,10,0.99995,1.5238420524930079,2.99196
34,11,1.0,1.5425748571471545,3.02182
34,12,1.0,1.576605504336051,3.20778
35,0,0.5,1.0,0.0
35,1,0.49429,1.0000323468814531,0.00109
35,2,0.49867,1.0004283859642107,0.0056
35,3,0.56896,1.0325141153361361,0.15201
35,4,0.97994,1.2285109019813147,0.97089
35,5,0.99963,1.237415003718121,1.00973
35,6,0.99991,1.2536824649311145,1.1041
35,7,1.0,1.3987466490641234,1.79959
35,8,1.0,1.4462219356121768,2.00021
35,9,1.0,1.4511308726044145,2.02583
35,10,1.0,1.4691711401033354,2.15307
35,11,1.0,1.5653073710341023,2.68573
35,12,1.0,1.639891844846374,3.00258
36,0,0.5,1.0,0.0
36,1,0.49225,1.0001379154217034,0.00185
36,2,0.50857,1.0038127563585253,0.02749
36,3,0.75004,1.0883591175017242,0.53278
36,4,0.98804,1.1688464605532929,1.00777
36,5,0.99949,1.1734187141240378,1.03972
36,6,0.99992,1.2304426425135702,1.28627
36,7,1.0,1.4076234711114084,1.97815
36,8,1.0,1.423333932807123,2.05441
36,9,1.0,1.491265840545089,2.46292
36,10,1.0,1.5748110810411262,2.93825
36,11,1.0,1.6007599883051438,3.06038
36,12,1.0,1.7223023557738686,3.59762
37,0,0.5,1.0,0.0
37,1,0.496,1.0000701733907476,0.00122
37,2,0.49464,1.0004231683489275,0.00608
37,3,0.4865,1.0047710861081005,0.04777
37,4,0.37543,1.0513329942621379,0.42041
37,5,0.11301,1.1307379275838079,0.95586
37,6,0.0316,1.1516249452970917,1.06539
37,7,0.00602,1.2128091137270574,1.4532
37,8,0.00015,1.2942551736844994,1.94961
37,9,0.0,1.303887052779893,2.00541
37,10,0.0,1.3100685923171127,2.05029
37,11,0.0,1.3688362953906017,2.39473
37,12,0.0,1.5119040266689976,2.95912
38,0,0.5,1.0,0.0
38,1,0.50933,1.0001184409427673,0.00181
38,2,0.51861,1.0034836246171304,0.02344
38,3,0.73208,1.0881321598641096,0.51292
38,4,0.95552,1.1970687552221324,1.08555
38,5,0.99846,1.4215712077148674,1.94591
38,6,0.99997,1.4370905956343354,2.00839
38,7,1.0,1.4430422510334753,2.05347
38,8,1.0,1.4994071606321444,2.37879
38,9,1.0,1.629695534341341,2.97769
38,10,1.0,1.688954965979512,3.25772
38,11,1.0,1.823058832671011,3.82473
38,12,1.0,1.953551610587762,4.25936
39,0,0.5,1.0,0.0
39,1,0.5027,1.0000540746168787,0.001
39,2,0.50214,1.000918607945768,0.00784
39,3,0.42148,1.032823875773569,0.19476
39,4,0.04383,1.1627522347180712,0.92802
39,5,0.00249,1.1765552870457796,1.00453
39,6,0.00048,1.1816993660418955,1.04648
39,7,7e-05,1.2243100093558663,1.37233
39,8,0.0,1.3110866742953633,1.96046
39,9,0.0,1.5554255050955075,2.86802
39,10,0.0,1.5979853303440361,3.02261
39,11,0.0,1.7203921189082627,3.47798
39,12,0.0,1.8745185240323303,3.98969
40,0,0.5,1.0,0.0
40,1,0.50417,1.000066811944561,0.00163
40,2,0.50698,1.0005489054993304,0.00762
40,3,0.51245,1.0052803011060973,0.05366
40,4,0.41582,1.0539581121380475,0.44027
40,5,0.14006,1.1262609280730747,0.9429
40,6,0.03943,1.1478848860664719,1.03831
40,7,0.0017,1.380426049588104,1.88719
40,8,0.0,1.4126056774344031,2.00743
40,9,0.0,1.4152630896077287,2.03547
40,10,0.0,1.4296864796717774,2.16286
40,11,0.0,1.496446414516785,2.61287
40,12,0.0,1.582987231498176,2.97837
41,0,0.5,1.0,0.0
41,1,0.49727,1.0000382987139391,0.00117
41,2,0.49871,1.0009120945287515,0.00801
41,3,0.60497,1.0419485807019928,0.23768
41,4,0.97296,1.1739157292037221,0.95756
41,5,0.99924,1.183146841542453,1.00966
41,6,0.99998,1.1870677124610232,1.04732
41,7,1.0,1.2313699215514942,1.34602
41,8,1.0,1.3388594945654166,1.92768
41,9,1.0,1.359655648020201,2.01009
41,10,1.0,1.4147224710660777,2.24693
41,11,1.0,1.576326002295546,2.94084
41,12,1.0,1.593585298612201,3.0167
42,0,0.5,1.0,0.0
42,1,0.49296,1.0000473462687596,0.00126
42,2,0.49008,1.0003392793660648,0.00532
42,3,0.49734,1.0030081650500653,0.03381
42,4,0.61432,1.028684807143201,0.27341
42,5,0.90505,1.1028869747881362,0.84792
42,6,0.99333,1.1928782908908977,1.00997
42,7,0.99981,1.2555166041771861,1.0182
42,8,1.0,1.2661130232589444,1.05005
42,9,1.0,1.2892407533118992,1.22743
42,10,1.0,1.41438728458172,1.82839
42,11,1.0,1.4770706036699726,2.00259
42,12,1.0,1.4881606034206447,2.03885
43,0,0.5,1.0,0.0
43,1,0.49816,1.0000996815627208,0.00177
43,2,0.49877,1.0010663433206974,0.01278
43,3,0.46166,1.0105195603057335,0.10629
43,4,0.23878,1.0621660659437742,0.58216
43,5,0.04973,1.106413926879642,0.95285
43,6,0.01459,1.122852316441218,1.03266
43,7,0.00395,1.1875223699020283,1.40323
43,8,0.00033,1.265077793700561,1.91134
43,9,0.0001,1.281783534045683,2.00455
43,10,0.0,1.3044888517387216,2.11203
43,11,0.0,1.427325347597695,2.74417
43,12,0.0,1.4792719376603491,2.99548
44,0,0.5,1.0,0.0
44,1,0.5026,1.0000786513906417,0.00106
44,2,0.51002,1.00127430124458,0.01234
44,3,0.56654,1.0181047241971903,0.15074
44,4,0.78051,1.101298238023673,0.77613
44,5,0.77772,1.1391774037071911,0.99157
44,6,0.71921,1.152195835172913,1.0181
44,7,0.77127,1.2059736072616147,1.29145
44,8,0.92557,1.3281994110010005,1.93489
44,9,0.92222,1.344211112218134,2.01206
44,10,0.8529,1.3686128859850824,2.15708
44,11,0.43103,1.4855414758703733,2.78668
44,12,0.15589,1.5341211175172138,2.99931
45,0,0.5,1.0,0.0
45,1,0.48961,1.000041731477783,0.00095
45,2,0.48601,1.0003138854382065,0.00475
45,3,0.49629,1.0049720151889332,0.04073
45,4,0.72351,1.1031956402730372,0.58529
45,5,0.96975,1.1882376676717155,0.99428
45,6,0.99445,1.193452678485934,1.01575
45,7,0.99894,1.2013512061827971,1.0906
45,8,0.99982,1.2392858982691328,1.43818
45,9,1.0,1.293636067711001,1.90105
45,10,1.0,1.3194223299467087,2.1078
45,11,1.0,1.3533122920826355,2.43694
45,12,1.0,1.4190373974038264,2.931
46,0,0.5,1.0,0.0
46,1,0.4924,1.0000541950412554,0.00091
46,2,0.48949,1.0016081465073858,0.01307
46,3,0.38478,1.0408709761328832,0.27236
46,4,0.16319,1.1469760661645407,0.93412
46,5,0.23346,1.1683933335470946,1.03317
46,6,0.17235,1.3033981721421448,1.65587
46,7,0.06173,1.3752710228353486,1.99844
46,8,0.06285,1.3815550828835272,2.03835
46,9,0.04323,1.4573597088687162,2.40524
46,10,0.00301,1.5867561779932733,2.96249
46,11,0.00022,1.6000129048704066,3.01371
46,12,2e-05,1.6092171928328762,3.07996
47,0,0.5,1.0,0.0
47,1,0.49756,1.000064109813554,0.00115
47,2,0.50033,1.0010132978134252,0.00848
47,3,0.55524,1.0313611585640157,0.18992
47,4,0.44805,1.1951052414705667,0.94706
47,5,0.16704,1.2310486854152398,1.00942
47,6,0.06494,1.242453986584848,1.05103
47,7,0.0258,1.267474395666031,1.26771
47,8,0.0064,1.32470916996335,1.75093
47,9,0.00122,1.3569486219236044,1.97155
47,10,0.00017,1.3699081849847548,2.01391
47,11,0.00011,1.3811343094295367,2.05304
47,12,3e-05,1.4041631424238743,2.20402
48,0,0.5,1.0,0.0
48,1,0.49042,1.0000267971434567,0.00081
48,2,0.48665,1.0002783715749428,0.00487
48,3,0.4799,1.0020525564231697,0.02474
48,4,0.43699,1.017498397667323,0.17898
48,5,0.243,1.0745572849450828,0.71191
48,6,0.10033,1.1057003578114606,0.97256
48,7,0.05446,1.1144912597039727,1.01677
48,8,0.03665,1.1311949129164327,1.11844
