Bug 1,Bug 2,Carbon,1 on 2: Effect,2 on 1: Effect,monoGrow_x,metDis,monoGrow_y,monoGrow24_x,monoGrow24_y,carbon_component_0,carbon_component_1,carbon_component_2,carbon_component_3,phy_strain_component_0_x,phy_strain_component_1_x,phy_strain_component_0_y,phy_strain_component_1_y
KA,EC,Acetate,4.055722981,0.811937288,-0.842863564,0.907417565,-0.671409558,-0.781634643,-0.570535161,-2.580535726,0.565009442,0.457130669,-0.212694531,-0.761258362,0.059888798,-0.643519307,-0.047828461
EC,EC,Acetate,1.1995002,1.1995002,-0.671409558,0,-0.671409558,-0.570535161,-0.570535161,-2.580535726,0.565009442,0.457130669,-0.212694531,-0.643519307,-0.047828461,-0.643519307,-0.047828461
PK,EC,Acetate,0.733795233,0.113945983,0.058769085,0.83734229,-0.671409558,-0.488935089,-0.570535161,-2.580535726,0.565009442,0.457130669,-0.212694531,1.734465091,0.034364534,-0.643519307,-0.047828461
PR1,EC,Acetate,3.134899133,-0.022100148,0.085713733,0.745164122,-0.671409558,-0.548260352,-0.570535161,-2.580535726,0.565009442,0.457130669,-0.212694531,1.621486475,-0.002116133,-0.643519307,-0.047828461
PAr,EC,Acetate,1.666172838,0.057814891,-0.170784031,0.845844875,-0.671409558,-0.712932431,-0.570535161,-2.580535726,0.565009442,0.457130669,-0.212694531,1.577952578,-0.014274806,-0.643519307,-0.047828461
PR2,EC,Acetate,1.181406479,0.212852466,0.005732631,0.904245973,-0.671409558,-0.70959221,-0.570535161,-2.580535726,0.565009442,0.457130669,-0.212694531,1.639875556,0.005653129,-0.643519307,-0.047828461
PH,EC,Acetate,2.619956339,-0.1944826,0.050227415,0.989912756,-0.671409558,-0.279961417,-0.570535161,-2.580535726,0.565009442,0.457130669,-0.212694531,1.675692322,0.010778575,-0.643519307,-0.047828461
PP,EC,Acetate,3.193341015,-0.08335116,0.397380868,0.996322113,-0.671409558,0.039141285,-0.570535161,-2.580535726,0.565009442,0.457130669,-0.212694531,1.708237337,0.022892351,-0.643519307,-0.047828461
PAl,EL,Acetate,-0.040749303,0,-0.824847064,0.063502743,-0.180209567,-0.995466788,-0.919043173,-2.580535726,0.565009442,0.457130669,-0.212694531,-0.564351128,-0.250667083,-0.734730655,-0.044093938
PAg2,EL,Acetate,-0.147803509,1.176056931,-0.968978489,0.071399273,-0.180209567,-0.686779466,-0.919043173,-2.580535726,0.565009442,0.457130669,-0.212694531,-0.630904166,-0.20157447,-0.734730655,-0.044093938
PAg1,EL,Acetate,0.088675167,0,-1.02095852,0.098784838,-0.180209567,-0.727022587,-0.919043173,-2.580535726,0.565009442,0.457130669,-0.212694531,-0.644315471,-0.222011822,-0.734730655,-0.044093938
LA,EL,Acetate,-0.422088658,-1.305722802,-0.833409316,0.042081063,-0.180209567,-0.940965667,-0.919043173,-2.580535726,0.565009442,0.457130669,-0.212694531,-0.771000309,0.077075392,-0.734730655,-0.044093938
EL,EL,Acetate,-0.497184381,-0.497184381,-0.180209567,0,-0.180209567,-0.919043173,-0.919043173,-2.580535726,0.565009442,0.457130669,-0.212694531,-0.734730655,-0.044093938,-0.734730655,-0.044093938
RP2,EL,Acetate,-0.566236835,-0.808286333,-0.364223032,0.044722211,-0.180209567,-0.947123812,-0.919043173,-2.580535726,0.565009442,0.457130669,-0.212694531,-0.792851826,0.117358038,-0.734730655,-0.044093938
RP1,EL,Acetate,-0.437010016,-0.505726519,-0.161343665,0.051407016,-0.180209567,-0.960912492,-0.919043173,-2.580535726,0.565009442,0.457130669,-0.212694531,-0.796280534,0.113226274,-0.734730655,-0.044093938
SF1,EL,Acetate,-0.130495193,0.791568007,-0.832443111,0.073986512,-0.180209567,-0.835507145,-0.919043173,-2.580535726,0.565009442,0.457130669,-0.212694531,-0.735447249,0.247141093,-0.734730655,-0.044093938
KA,EL,Acetate,-0.314753537,0.04917246,-0.842863564,0.089333476,-0.180209567,-0.781634643,-0.919043173,-2.580535726,0.565009442,0.457130669,-0.212694531,-0.761258362,0.059888798,-0.734730655,-0.044093938
PK,EL,Acetate,-1.014635551,-1.304124521,0.058769085,0.667876127,-0.180209567,-0.488935089,-0.919043173,-2.580535726,0.565009442,0.457130669,-0.212694531,1.734465091,0.034364534,-0.734730655,-0.044093938
PR1,EL,Acetate,0.179953986,-0.386925668,0.085713733,0.581009949,-0.180209567,-0.548260352,-0.919043173,-2.580535726,0.565009442,0.457130669,-0.212694531,1.621486475,-0.002116133,-0.734730655,-0.044093938
PAr,EL,Acetate,-1.727513378,-0.357533244,-0.170784031,0.431131229,-0.180209567,-0.712932431,-0.919043173,-2.580535726,0.565009442,0.457130669,-0.212694531,1.577952578,-0.014274806,-0.734730655,-0.044093938
PR2,EL,Acetate,-1.384102837,-0.275308256,0.005732631,0.532521021,-0.180209567,-0.70959221,-0.919043173,-2.580535726,0.565009442,0.457130669,-0.212694531,1.639875556,0.005653129,-0.734730655,-0.044093938
